transaction_id,transaction_date,customer_name,customer_email,product_name,category,quantity,unit_price,store_region
61,2023-06-13,Maria Lima,user30@email.com,SSD 1TB,Display,2,510.62,Sudeste
62,2023-02-19,Maria Lima,user46@email.com,Mouse Gamer,Peripherals,3,232.68,Centro-Oeste
63,2023-04-14,Maria Lima,user5@email.com,Headset Pro,Display,2,221.29,Sul
64,2023-05-12,Carlos Pereira,user12@email.com,Mouse Gamer,Storage,1,175.07,Sudeste
65,2023-01-02,Pedro Alves,user16@email.com,Mouse Gamer,Storage,2,384.34,Centro-Oeste
66,2023-05-14,Ana Silva,user26@email.com,Mouse Gamer,Audio,3,258.62,Centro-Oeste
67,2023-02-23,Carlos Pereira,user26@email.com,SSD 1TB,Storage,3,459.34,Norte
68,2023-04-16,Maria Lima,user48@email.com,Webcam HD,Storage,4,163.07,Sul
69,2023-01-04,Ana Silva,user21@email.com,SSD 1TB,Storage,2,483.28,Norte
70,2023-02-23,Carlos Pereira,user39@email.com,Teclado Mecânico,Peripherals,3,382.05,Nordeste
71,2023-05-26,Pedro Alves,user36@email.com,Headset Pro,Storage,1,112.85,Norte
72,2023-02-13,Carlos Pereira,user33@email.com,Webcam HD,Storage,4,277.98,Norte
73,2023-06-11,Pedro Alves,user30@email.com,Webcam HD,Audio,1,524.93,Sudeste
74,2023-01-14,Maria Lima,user37@email.com,Webcam HD,Storage,2,557.63,Centro-Oeste
75,2023-04-05,Pedro Alves,user23@email.com,Webcam HD,Storage,2,306.14,Sul
76,2023-02-17,Ana Silva,user10@email.com,SSD 1TB,Display,2,314.46,Norte
77,2023-01-15,Maria Lima,user5@email.com,Webcam HD,Audio,4,555.15,Sul
78,2023-02-09,Ana Silva,user36@email.com,Monitor 24,Audio,3,372.89,Norte
79,2023-03-23,Luiza Gomes,user34@email.com,Headset Pro,Audio,4,68.07,Nordeste
80,2023-04-21,João Souza,user31@email.com,Webcam HD,Audio,1,552.01,Norte
81,2023-02-22,Pedro Alves,user10@email.com,Headset Pro,Audio,4,186.52,Sudeste
82,2023-01-24,João Souza,user19@email.com,Monitor 24,Audio,1,367.7,Centro-Oeste
83,2023-06-03,João Souza,user32@email.com,Monitor 24,Peripherals,4,141.03,Nordeste
84,2023-05-04,Pedro Alves,user1@email.com,Headset Pro,Storage,3,68.63,Norte
85,2023-02-10,Maria Lima,user5@email.com,Mouse Gamer,Audio,1,221.31,Sul
86,2023-06-06,Luiza Gomes,user45@email.com,Teclado Mecânico,Storage,2,479.27,Nordeste
87,2023-01-15,Ana Silva,user4@email.com,Mouse Gamer,Storage,2,202.67,Nordeste
88,2023-02-14,Carlos Pereira,user16@email.com,Mouse Gamer,Peripherals,4,171.05,Norte
89,2023-03-06,Ana Silva,user24@email.com,SSD 1TB,Audio,2,166.97,Nordeste
90,2023-03-30,Carlos Pereira,user16@email.com,Mouse Gamer,Display,1,333.35,Sul
91,2023-03-12,Ana Silva,user2@email.com,Webcam HD,Peripherals,2,586.55,Nordeste
92,2023-01-09,Pedro Alves,user49@email.com,SSD 1TB,Display,3,302.44,Sul
93,2023-03-29,Luiza Gomes,user28@email.com,SSD 1TB,Storage,3,356.52,Norte
94,2023-05-09,Carlos Pereira,user32@email.com,Monitor 24,Storage,4,523.35,Centro-Oeste
95,2023-05-16,Maria Lima,user27@email.com,Mouse Gamer,Peripherals,1,344.29,Nordeste
96,2023-03-04,Ana Silva,user20@email.com,Monitor 24,Peripherals,3,151.45,Centro-Oeste
97,2023-05-19,Ana Silva,user24@email.com,Headset Pro,Display,3,214.78,Sul
98,2023-03-22,Carlos Pereira,user12@email.com,Teclado Mecânico,Audio,1,220.47,Nordeste
99,2023-05-16,Maria Lima,user35@email.com,SSD 1TB,Display,2,268.52,Sudeste
100,2023-06-12,Maria Lima,user33@email.com,Headset Pro,Peripherals,2,284.73,Centro-Oeste
101,2023-06-12,Pedro Alves,user33@email.com,Headset Pro,Display,4,489.88,Nordeste
102,2023-02-02,Pedro Alves,user43@email.com,Webcam HD,Peripherals,2,242.16,Centro-Oeste
103,2023-05-03,Pedro Alves,user37@email.com,Teclado Mecânico,Display,1,307.53,Nordeste
104,2023-01-05,Pedro Alves,user12@email.com,Headset Pro,Peripherals,3,393.74,Norte
105,2023-02-10,Pedro Alves,user3@email.com,Headset Pro,Peripherals,2,257.75,Centro-Oeste
106,2023-01-28,Pedro Alves,user1@email.com,Teclado Mecânico,Peripherals,4,510.11,Sudeste
107,2023-05-15,Luiza Gomes,user33@email.com,Teclado Mecânico,Audio,2,373.1,Sudeste
108,2023-03-13,Maria Lima,user40@email.com,Headset Pro,Display,1,211.72,Sul
109,2023-01-12,Pedro Alves,user10@email.com,Teclado Mecânico,Display,4,442.73,Nordeste
110,2023-06-11,Maria Lima,user43@email.com,Headset Pro,Display,2,340.21,Centro-Oeste
111,2023-02-02,Maria Lima,user44@email.com,Headset Pro,Peripherals,4,343.95,Sul
112,2023-02-17,João Souza,user29@email.com,Webcam HD,Display,1,314.6,Centro-Oeste
113,2023-05-31,Luiza Gomes,user13@email.com,Mouse Gamer,Display,3,323.36,Nordeste
114,2023-03-03,Pedro Alves,user12@email.com,Headset Pro,Peripherals,1,470.95,Sudeste
115,2023-02-06,Ana Silva,user31@email.com,Monitor 24,Storage,1,106.64,Norte
116,2023-04-09,Carlos Pereira,user46@email.com,SSD 1TB,Peripherals,1,233.9,Sudeste
117,2023-06-21,Ana Silva,user2@email.com,Mouse Gamer,Display,1,91.53,Sul
118,2023-04-14,Luiza Gomes,user35@email.com,Mouse Gamer,Peripherals,3,464.29,Norte
119,2023-02-04,Carlos Pereira,user23@email.com,Mouse Gamer,Storage,3,199.77,Sul
120,2023-04-11,Luiza Gomes,user17@email.com,Webcam HD,Peripherals,4,543.59,Nordeste
121,2023-06-24,Maria Lima,user26@email.com,Headset Pro,Display,2,339.62,Norte
122,2023-05-11,Carlos Pereira,user8@email.com,Webcam HD,Storage,3,490.41,Sul
123,2023-01-01,Maria Lima,user29@email.com,Headset Pro,Audio,3,588.41,Nordeste
124,2023-01-05,Ana Silva,user26@email.com,Webcam HD,Display,2,511.88,Sudeste
125,2023-05-22,Ana Silva,user10@email.com,Webcam HD,Storage,3,526.85,Nordeste
126,2023-04-13,Carlos Pereira,user26@email.com,SSD 1TB,Storage,1,274.39,Centro-Oeste
127,2023-01-27,Carlos Pereira,user34@email.com,Monitor 24,Audio,1,353.45,Nordeste
128,2023-05-17,Pedro Alves,user41@email.com,Webcam HD,Peripherals,2,189.64,Nordeste
129,2023-01-15,Luiza Gomes,user7@email.com,SSD 1TB,Peripherals,4,157.86,Centro-Oeste
130,2023-03-31,Pedro Alves,user4@email.com,Teclado Mecânico,Display,4,328.03,Sul
131,2023-02-11,Luiza Gomes,user45@email.com,Monitor 24,Audio,2,377.28,Sul
132,2023-05-04,Pedro Alves,user11@email.com,Webcam HD,Peripherals,2,236.6,Nordeste
133,2023-06-28,Maria Lima,user29@email.com,Mouse Gamer,Audio,1,363.19,Centro-Oeste
134,2023-03-04,Carlos Pereira,user36@email.com,Teclado Mecânico,Peripherals,4,538.1,Centro-Oeste
135,2023-04-06,Ana Silva,user25@email.com,Teclado Mecânico,Storage,3,356.2,Sudeste
136,2023-02-21,Luiza Gomes,user21@email.com,SSD 1TB,Peripherals,1,446.45,Sul
137,2023-04-06,Luiza Gomes,user36@email.com,Teclado Mecânico,Audio,2,492.92,Norte
138,2023-05-12,Ana Silva,user10@email.com,Monitor 24,Storage,4,593.8,Sul
139,2023-05-31,Pedro Alves,user37@email.com,Webcam HD,Storage,3,381.76,Sul
140,2023-05-23,Luiza Gomes,user9@email.com,Webcam HD,Storage,3,493.77,Sudeste
141,2023-06-20,Maria Lima,user24@email.com,Mouse Gamer,Audio,1,579.46,Norte
142,2023-01-29,Carlos Pereira,user35@email.com,SSD 1TB,Display,4,569.43,Sudeste
143,2023-02-05,Ana Silva,user49@email.com,Mouse Gamer,Display,4,127.6,Norte
144,2023-01-13,Carlos Pereira,user35@email.com,Teclado Mecânico,Display,2,273.52,Nordeste
145,2023-06-09,Luiza Gomes,user48@email.com,Mouse Gamer,Audio,4,228.19,Norte
146,2023-03-12,Luiza Gomes,user36@email.com,Monitor 24,Storage,4,97.81,Sudeste
147,2023-03-27,Ana Silva,user18@email.com,Webcam HD,Display,1,398.28,Sul
148,2023-01-28,Maria Lima,user49@email.com,Teclado Mecânico,Audio,4,454.75,Norte
149,2023-03-07,João Souza,user39@email.com,Mouse Gamer,Display,3,516.47,Norte
150,2023-06-19,Ana Silva,user32@email.com,SSD 1TB,Peripherals,1,117.53,Centro-Oeste
151,2023-02-14,João Souza,user24@email.com,Monitor 24,Display,1,532.04,Sul
152,2023-03-03,Pedro Alves,user23@email.com,Monitor 24,Display,2,403.61,Nordeste
153,2023-05-14,João Souza,user32@email.com,Mouse Gamer,Storage,4,437.17,Sudeste
154,2023-01-28,Maria Lima,user37@email.com,Webcam HD,Audio,2,550.84,Nordeste
155,2023-01-28,Pedro Alves,user12@email.com,Mouse Gamer,Storage,3,393.62,Sul
156,2023-04-18,João Souza,user49@email.com,Teclado Mecânico,Storage,1,234.73,Norte
157,2023-02-13,Pedro Alves,user13@email.com,Mouse Gamer,Storage,1,503.81,Norte
158,2023-03-25,João Souza,user23@email.com,Monitor 24,Storage,1,249.68,Sul
159,2023-01-30,Maria Lima,user25@email.com,Mouse Gamer,Storage,3,68.83,Norte
160,2023-03-16,João Souza,user35@email.com,Webcam HD,Display,3,506.86,Norte
161,2023-05-08,João Souza,user41@email.com,SSD 1TB,Storage,2,239.86,Norte
162,2023-04-02,João Souza,user30@email.com,Headset Pro,Storage,2,475.61,Sudeste
163,2023-05-09,Ana Silva,user17@email.com,Mouse Gamer,Audio,2,249.52,Sudeste
164,2023-05-01,Ana Silva,user49@email.com,Webcam HD,Peripherals,4,523.59,Centro-Oeste
165,2023-01-27,Ana Silva,user20@email.com,Webcam HD,Display,1,170.73,Nordeste
166,2023-05-01,Maria Lima,user48@email.com,SSD 1TB,Display,1,586.0,Sul
167,2023-04-26,Pedro Alves,user25@email.com,Monitor 24,Display,2,478.87,Sul
168,2023-01-03,Luiza Gomes,user22@email.com,Webcam HD,Storage,1,112.83,Sul
169,2023-04-13,João Souza,user13@email.com,Webcam HD,Storage,2,361.18,Centro-Oeste
170,2023-06-04,João Souza,user19@email.com,Webcam HD,Storage,4,591.95,Sudeste
171,2023-05-17,Maria Lima,user49@email.com,Webcam HD,Audio,4,309.09,Centro-Oeste
172,2023-03-03,João Souza,user36@email.com,Teclado Mecânico,Peripherals,3,150.16,Sul
173,2023-06-14,Ana Silva,user12@email.com,Teclado Mecânico,Storage,4,316.63,Nordeste
174,2023-02-20,Luiza Gomes,user41@email.com,Monitor 24,Peripherals,2,331.85,Norte
175,2023-06-21,Carlos Pereira,user19@email.com,Mouse Gamer,Audio,4,457.93,Sudeste
176,2023-06-01,João Souza,user12@email.com,Webcam HD,Display,3,434.37,Sudeste
177,2023-02-28,Ana Silva,user9@email.com,SSD 1TB,Storage,1,271.4,Centro-Oeste
178,2023-04-28,Carlos Pereira,user7@email.com,Mouse Gamer,Peripherals,2,169.91,Sudeste
179,2023-06-09,Luiza Gomes,user28@email.com,SSD 1TB,Peripherals,1,404.78,Sul
180,2023-04-06,Carlos Pereira,user14@email.com,Mouse Gamer,Storage,3,281.94,Sul
181,2023-06-29,Ana Silva,user31@email.com,Monitor 24,Display,3,122.75,Centro-Oeste
182,2023-04-23,Pedro Alves,user19@email.com,Webcam HD,Display,3,545.31,Sul
183,2023-03-03,Pedro Alves,user47@email.com,Webcam HD,Display,1,430.17,Nordeste
184,2023-02-21,Carlos Pereira,user16@email.com,Headset Pro,Audio,1,425.75,Centro-Oeste
185,2023-01-12,Maria Lima,user5@email.com,SSD 1TB,Peripherals,1,502.42,Nordeste
186,2023-02-08,Carlos Pereira,user35@email.com,Mouse Gamer,Peripherals,1,341.31,Norte
187,2023-05-10,João Souza,user12@email.com,Mouse Gamer,Peripherals,3,498.28,Nordeste
188,2023-05-11,João Souza,user25@email.com,Teclado Mecânico,Audio,3,323.95,Norte
189,2023-04-23,Pedro Alves,user21@email.com,Headset Pro,Peripherals,2,86.95,Norte
190,2023-04-11,Maria Lima,user36@email.com,Teclado Mecânico,Audio,2,272.89,Nordeste
191,2023-04-23,Ana Silva,user23@email.com,Teclado Mecânico,Display,1,323.61,Centro-Oeste
192,2023-03-22,João Souza,user16@email.com,Teclado Mecânico,Storage,4,446.11,Sul
193,2023-04-23,Pedro Alves,user39@email.com,SSD 1TB,Peripherals,4,108.62,Sul
194,2023-01-02,Luiza Gomes,user45@email.com,SSD 1TB,Peripherals,3,127.01,Norte
195,2023-05-10,Pedro Alves,user42@email.com,Monitor 24,Display,3,195.03,Norte
196,2023-02-23,João Souza,user39@email.com,Monitor 24,Storage,3,196.57,Centro-Oeste
197,2023-03-28,João Souza,user14@email.com,Teclado Mecânico,Audio,2,452.7,Sudeste
198,2023-05-09,Pedro Alves,user31@email.com,Headset Pro,Storage,2,187.9,Nordeste
199,2023-05-27,Ana Silva,user5@email.com,Mouse Gamer,Display,3,398.2,Norte
200,2023-05-06,Carlos Pereira,user35@email.com,SSD 1TB,Display,3,321.85,Sul
